用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,最后修改者,修改日期,用例版本,相关用例
11604,目不转睛(#6),探索性测试(#376),,对会员的积分进行奖励和扣除（“测一送一”和快递测试）,,"1. 使用火狐浏览登录后台
2. 使用谷歌浏览器登录后台
3. 随机点击一个用户进行积分操作
4. 在前台登录该用户，查看积分情况
","1. 
2. 火狐浏览器的后台被迫退出登录
3. 
4. 积分根据操作有所改动
","1. 
2. 
3. 
4. 
",,3,功能测试,,正常,1,1,4,失败,,0000-00-00,1,
11428,目不转睛(#6),探索性测试(#376),,商城的其他设置（指南测试）,,"1. 设置交易货币
2. 设置库存显示
3. 设置确认收货周期
4. 选择交易方式
4.1. 支付宝即时到账
4.2. 支付宝担保交易
4.3. 货到付款
5. 点击提交
","1. 
2. 
3. 
4. 
4.1. 
4.2. 
4.3. 
5. 
",,,3,功能测试,,正常,0,1,7,通过,杨斯媛,2018/12/13,1,
11427,目不转睛(#6),探索性测试(#376),,添加产品（指南测试）,设置好产品类目，使用管理员登录后台,"1. 点击添加产品
2. 进行产品详细内容的填写
2.1. 产品可以属于多个类目
2.2. 产品的英文别名也是用来做搜索引擎优化使用
2.3. 购买链接可以填写第三方的电声平台上面的商品链接
2.4. 关键词、摘要都是用来做搜索引擎优化使用的
3. 填写产品的价格，产地，型号等信息，通过自定义属性功能，添加产品的更多属性
3.1. 价格可以设置为面议
4. 设置产品的图片
4.1. 产品列表中有图片的链接 
4.2. 点击图片链接
4.3. 添加新的图片
4.4. 通过拖拽改变图片的排序（默认排在前面的为该产品的封面图片）
5. 还可以通过按钮设置产品的附件，产品的上下架以及添加CSS、JS代码
","1. 
2. 
2.1. 
2.2. 
2.3. 
2.4. 
3. 
3.1. 
4. 
4.1. 
4.2. 出现产品的图片维护页面
4.3. 
4.4. 
5. 
",,,3,功能测试,,正常,0,1,11,通过,,0000-00-00,1,
11426,目不转睛(#6),探索性测试(#376),,维护产品类目（指南测试）,,"1. 首先登录管理后台，进入产品管理模块
2. 点击产品的类目管理，即可维护产品类目信息
2.1. 产品类同样可以维护多级
2.2. 类目的英文别名也是为了搜索引擎优化使用
2.3. 点击编辑可以编辑类目的详细信息
2.4. 支持对每个产品类目板块进行页面布局
","1. 
2. 
2.1. 
2.2. 
2.3. 
2.4. 
",,,3,功能测试,,正常,0,1,5,通过,杨斯媛,2018/12/24,2,
11425,目不转睛(#6),探索性测试(#376),,订单管理（指南测试）,登录后台管理系统，在站点设置里开通了商城功能模块,"1. 点击商城
2. 点击商品，查看订单
3. 对订单进行具体操作，编辑，删除，完成，还可以进行订单详情日志，收款，退款，发货等
3.1. 详情：查看订单的详细操作日志，掌控订单的具体流程进度
3.2. 发货：待发货订单，点击右侧的发货按钮可以进行发货
选择发货的快递，填写好快递单号，保存，发货操作即算成功完成（可以在快递设置里填写常用的快递名称，方便发货时选择）
3.3. 收款，选择交易方式，填写交易号，填写金额，填写付款时间
3.4. 退款，填写交易号，填写交易金额，填写退款备注
4. 积分订单管理：管理的是用户在个人中心充值购买积分的订单
","1. 
2. 
3. 
3.1. 
3.2. 
3.3. 
3.4. 
4. 
",,,3,功能测试,,正常,0,1,7,通过,杨斯媛,2018/12/13,2,
11406,目不转睛(#6),探索性测试(#376),,设置板块信息（指南测试）,进入会员板块，论坛模块,"1. 点击版块管理
2. 在左侧树形列表选择任意版块点击编辑
3. 输入上级版块，版块，简称，别名，关键词，描述，版主（使用会员用户名，多个版主之间用逗号隔开），设置访问权限
4. 点击保存
","1. 
2. 
3. 
4. 
",,,3,功能测试,,正常,0,1,4,通过,,0000-00-00,1,
11404,目不转睛(#6),探索性测试(#376),,论坛版块（指南测试）,使用管理员登录蝉知管理后台，进入论坛模块,"1. 点击会员板块，进入论坛管理
2. 点击版块管理，对板块进行添加
3. 论坛板块需要设置两级才可以正常显示
","1. 
2. 
3. 
",,,3,功能测试,,正常,0,1,3,通过,,0000-00-00,1,
11376,目不转睛(#6),探索性测试(#376),,快递测试法：如果会员删除帖子积分是否被回收,能够进入后台，会员存在，使用会员账号进入前台,"1. 会员创建一个帖子
2. 会员删除该帖子
","1. 获得对应的发帖积分
2. 积分被回收
",,,3,功能测试,,正常,0,1,2,通过,韦宇杰,2018/12/12,2,
11366,目不转睛(#6),探索性测试(#376),,卖点测试法查看蝉知首页,成功登陆蝉知,"1. 查看蝉知卖点
1.1. 点击文章
1.2. 点击订单
1.3. 点击博客
1.4. 点击产品
1.5. 点击会员
1.6. 点击投稿
1.7. 点击关键词
","1. 
1.1. 
1.2. 
1.3. 
1.4. 
1.5. 
1.6. 
1.7. 
",,,3,功能测试,,正常,0,1,7,通过,,0000-00-00,1,
11347,目不转睛(#6),探索性测试(#376),,深巷测试法对蝉知构建的相关的开源项目浏览与查看,成功登录蝉知后台,"1. 点击主页左下方用户admin图标
2. 选择致谢选项
3. 点击”phpThumb“
","1. 弹出admin的相关信息
2. 弹出“蝉知构建于众多优秀的开源项目之上”相关项目
3. 页面跳转至”phpThumb“的相关介绍
",,,3,功能测试,,正常,0,1,3,通过,,0000-00-00,1,
11346,目不转睛(#6),探索性测试(#376),,留言版块（指南测试）,在会员这一版块内,"1. 使用留言功能之前，首先把留言功能打开
2. 在设置版块的站点设置，有一部分内容为功能设置，将评论留言版块勾选上
3. 再次回到会员板块
4. 对已有的留言进行操作
4.1. 回复：回复当前的留言或者评论
4.2. 删除：删除当前的留言或者评论
4.3. 通过：将当前的留言或者评论改为审核状态
4.4. 删除之前：将这条留言之前的所有留言都删除
4.5. 通过之前：将这条留言之前的所有留言都通过
","1. 
2. 
3. 
4. 
4.1. 
4.2. 
4.3. 
4.4. 
4.5. 
",,,3,功能测试,,正常,0,1,8,通过,,0000-00-00,1,
11342,目不转睛(#6),探索性测试(#376),,超模测试法测试设置主题,成功登陆蝉知,"1. 点击设计
2. 点击蝉之格主题
","1. 成功跳转到设计界面
2. 显示设置成功
",,,3,功能测试,,正常,0,1,2,通过,,0000-00-00,1,
11338,目不转睛(#6),探索性测试(#376),,使用极限测试法测试同一时间发布文章,能够进入后台，点击内容,"1. 点击发布文章，按要求填写发布文章必填的信息
2. 将发布时间定为2018-12-12 11:00，点击保存
3. 重复执行用例步骤1和2 200次
4. 11:00观察文章列表动态
","1. 不提示错误
2. 
3. 
4. 
",,,3,功能测试,,正常,0,1,4,通过,韦宇杰,2018/12/12,1,
11336,目不转睛(#6),探索性测试(#376),,会员板块（指南测试）,,"1. 查看会员，在搜索框里输入用户名进行搜索
2. 选择一个会员进行编辑，是否设置为管理员，会员忘记密码，帮他重置密码
3. 选择一个会员禁用其账号
4. 后台添加用户
","1. 
2. 
3. 
4. 
",,,3,功能测试,,正常,0,2,4,通过,,0000-00-00,1,
11335,目不转睛(#6),探索性测试(#376),,破坏测试法对会员购买主题的测试,成功登录蝉知后台,"1. 点击会员，选择admin用户积分选项，点击扣除
2. 扣除admin会员在线所有积分
3. 点击设计，选择主题进入主题市场
4. 选择汽车销售企业网站，选择积分购买，登录admin会员账号与密码，进行购买与支付，
","1. 弹出扣除积分数量输入框
2. 积分变为零
3. 显示主题市场界面
4. 支付失败，积分余额不足
","1. 弹出扣除积分数量输入框
2. 	积分变为零
3. 	显示主题市场界面
4. 弹出登录绑定账号提示
",,3,功能测试,,正常,0,1,4,失败,,0000-00-00,1,
11334,目不转睛(#6),探索性测试(#376),,使用指南测试法发布文章,成功登陆蝉知，认真阅读用户手册,"1. 点击蝉知首页的文章选项
2. 确保文章列表里有至少一篇文章，点击发布文章
3. 点击类目并输入“发布文章”
4. 点击标题并输入“文章”
5. 点击保存
","1. 成功跳转到文章界面
2. 成功跳转到发布文章界面
3. 类目选项成功输入“发布文章”
4. 标题选项成功输入“文章”
5. 显示保存成功
",,,3,功能测试,,正常,0,1,5,通过,,0000-00-00,1,
